지역,건물용도,건물용도구분,연면적,창면적비,난방방식,냉방방식,태양광용량,태양광_후면,태양광_밀착,지열여부,열병합여부,태양광비율,에너지자립률,1차에너지소요량,최종등급,비율구간,보간_자립률,보간_1차에너지,잔차_자립률,잔차_1차에너지
0,6,1,27308.9602,18.08,0,0,30.72,134.175,143.75892857142856,0,0,0.00491322258399278,1.87,108.7,5,0~2%,3.877437871838123,118.86528903359712,-2.007437871838123,-10.16528903359712
0,3,1,12257.75,25.82,0,0,36.0,162.071,173.64749999999998,0,0,0.01322192082560013,3.13,94.5,5,0~2%,6.037699414656034,122.18876833024005,-2.907699414656034,-27.688768330240052
8,17,1,6119.83,34.37,2,0,7.2,59.9132,64.19271428571429,0,0,0.009790010506827805,3.18,123.2,5,0~2%,5.1454027317752296,120.81600420273112,-1.9654027317752294,2.383995797268881
7,1,1,47790.81,3.84,0,0,196.384,1023.7584,1096.884,0,0,0.021421658264423642,6.15,117.0,5,2~5%,8.169631148750145,125.46866330576947,-2.019631148750145,-8.468663305769468
8,17,1,4127.8281,25.1,2,0,19.52,173.95714285714286,186.3826530612245,0,0,0.04214253564898763,7.0,123.6,5,2~5%,13.557059268736783,128.2394054707521,-6.557059268736783,-4.639405470752109
8,17,1,3382.32,15.13,2,0,13.86,70.699,75.74892857142856,0,0,0.020902516615813996,7.02,111.1,5,2~5%,8.034654320111638,125.2610066463256,-1.0146543201116387,-14.161006646325603
1,17,1,12470.0255,24.83,0,0,20.57,171.65604166666665,183.91718749999998,0,0,0.013765492433569334,7.24,118.9,5,0~2%,6.179028032728027,122.40619697342774,1.060971967271973,-3.506196973427734
0,6,1,24230.3,19.15,0,0,95.48,430.098,460.8192857142857,0,0,0.017750419928766876,7.7,85.0,4,0~2%,7.215109181479388,124.00016797150676,0.4848908185206122,-39.000167971506755
8,17,1,2714.4,26.36,2,0,7.09,37.839933333333335,40.54278571428571,0,0,0.013940441104234208,8.25,121.9,5,0~2%,6.224514687100894,122.4761764416937,2.0254853128991064,-0.5761764416936899
4,29,1,7990.13,34.3,0,0,53.9,226.941,243.1510714285714,0,0,0.02840266679015235,8.81,126.7,5,2~5%,9.984693365439611,128.26106671606095,-1.1746933654396106,-1.5610667160609495
8,17,1,4302.01,23.95,2,0,20.4,95.041,101.82964285714284,0,0,0.022092231305831458,9.25,117.4,5,2~5%,8.343980139516178,125.7368925223326,0.9060198604838217,-8.33689252233259
2,6,1,1409.23,32.98,0,0,13.2,110.182125,118.05227678571428,0,0,0.07818604840941507,9.6,110.0,5,5~10%,22.692605004151204,115.17162741355209,-13.092605004151205,-5.171627413552088
8,17,1,137511.8606,42.44,0,0,1005.962,6824.5454666666665,7312.012999999999,0,0,0.04962877701522908,9.69,115.6,5,2~5%,15.503482023959561,125.45078056182717,-5.813482023959562,-9.850780561827179
8,17,1,3983.58,34.74,0,0,27.75,247.76785714285714,265.46556122448976,0,0,0.06219728413709707,9.77,126.0,5,5~10%,18.771293875645238,120.76901165893135,-9.001293875645239,5.230988341068652
8,17,1,5735.1971,22.55,0,0,16.64,138.57171666666667,148.46969642857144,0,0,0.024161631108836113,9.79,122.3,5,2~5%,8.882024088297388,126.56465244353446,0.9079759117026107,-4.264652443534459
8,16,1,3900.11,44.49,1,0,44.296,238.14933333333335,255.16,0,0,0.061062209356488234,9.98,98.5,5,5~10%,18.476174432686943,121.19182701470814,-8.496174432686942,-22.69182701470814
5,28,1,7490.49,34.87,0,0,50.4,223.625,239.59821428571425,0,0,0.029854522200817305,10.54,125.5,5,2~5%,10.362175772212499,128.84180888032694,0.17782422778750018,-3.341808880326937
11,17,1,18935.0534,15.5,0,0,96.33,449.23946666666666,481.328,0,0,0.023725281211336147,11.92,102.2,5,2~5%,8.768573114947397,126.39011248453447,3.1514268850526026,-24.190112484534467
1,17,1,3423.61,18.77,2,0,25.2,111.714,119.69357142857142,0,0,0.032630469007860124,12.03,94.8,5,2~5%,11.08392194204363,129.95218760314407,0.9460780579563686,-35.15218760314407
7,1,1,25327.47,32.81,0,0,90.3,753.3352750000001,807.1449375000001,0,0,0.029743802874902234,12.55,119.9,5,2~5%,10.33338874747458,128.7975211499609,2.2166112525254213,-8.89752114996088
6,29,1,5140.86,35.28,0,0,39.825,187.922,201.34499999999997,0,0,0.03655458425244026,12.64,115.4,5,2~5%,12.104191905634465,130.320917365966,0.5358080943655352,-14.920917365966005
11,17,1,6386.062,19.54,0,0,33.28,145.228,155.60142857142856,0,0,0.02274140150847267,12.99,98.8,5,2~5%,8.512764392202893,125.99656060338907,4.477235607797107,-27.196560603389074
